Protocol,Size,Associativity,BlockSize,ProcNum,1_read,1_readMiss,1_write,1_writeMiss,1_missRate,1_writeBacks,1_ccTransfers,1_memTraffic,1_interventions,1_invalidations,1_flushes,1_busRdX,ProcNum,2_read,2_readMiss,2_write,2_writeMiss,2_missRate,2_writeBacks,2_ccTransfers,2_memTraffic,2_interventions,2_invalidations,2_flushes,2_busRdX,ProcNum,3_read,3_readMiss,3_write,3_writeMiss,3_missRate,3_writeBacks,3_ccTransfers,3_memTraffic,3_interventions,3_invalidations,3_flushes,3_busRdX,ProcNum,4_read,4_readMiss,4_write,4_writeMiss,4_missRate,4_writeBacks,4_ccTransfers,4_memTraffic,4_interventions,4_invalidations,4_flushes,4_busRdX,Reads,ReadMisses,Writes,WriteMisses,MissRate,WriteBacks,CcTransfers,MemoryTraffic,Interventions,Invalidations,Flushes,BusRdX
MSI,1048576,4,64,  0  ,112661,5768,11942,39,4.660000,239,0,6723,69,2014,114,716,  1  ,110830,5797,11710,41,4.760000,211,0,6708,47,2034,92,700,  2  ,114938,5762,12383,42,4.560000,239,0,6726,81,2008,120,725,  3  ,113428,5803,12108,39,4.650000,224,0,6741,63,2020,88,714,451857.000000,23130.000000,48143.000000,161.000000,4.657500,913.000000,0.000000,26898.000000,260.000000,8076.000000,414.000000,2855.000000
MSI,1048576,8,64,  0  ,112661,5752,11942,39,4.650000,170,0,6638,71,2014,116,716,  1  ,110830,5781,11710,41,4.750000,155,0,6636,48,2034,93,700,  2  ,114938,5752,12383,42,4.550000,186,0,6663,82,2008,121,725,  3  ,113428,5790,12108,39,4.640000,157,0,6661,64,2020,89,714,451857.000000,23075.000000,48143.000000,161.000000,4.647500,668.000000,0.000000,26598.000000,265.000000,8076.000000,419.000000,2855.000000
MSI,1048576,16,64,  0  ,112661,5741,11942,39,4.640000,120,0,6577,71,2014,116,716,  1  ,110830,5772,11710,41,4.740000,101,0,6573,48,2034,93,700,  2  ,114938,5741,12383,42,4.540000,130,0,6596,83,2008,122,725,  3  ,113428,5780,12108,39,4.640000,98,0,6592,64,2020,89,714,451857.000000,23034.000000,48143.000000,161.000000,4.640000,449.000000,0.000000,26338.000000,266.000000,8076.000000,420.000000,2855.000000
MESI,1048576,4,64,  0  ,112661,5768,11942,39,4.660000,239,4402,1644,1465,2014,114,39,  1  ,110830,5797,11710,41,4.760000,211,4434,1615,1431,2034,92,41,  2  ,114938,5762,12383,42,4.560000,239,4401,1642,1465,2008,120,42,  3  ,113428,5803,12108,39,4.650000,224,4401,1665,1480,2020,88,39,451857.000000,23130.000000,48143.000000,161.000000,4.657500,913.000000,17638.000000,6566.000000,5841.000000,8076.000000,414.000000,161.000000
MESI,1048576,8,64,  0  ,112661,5752,11942,39,4.650000,170,4389,1572,1464,2014,116,39,  1  ,110830,5781,11710,41,4.750000,155,4422,1555,1428,2034,93,41,  2  ,114938,5752,12383,42,4.550000,186,4393,1587,1464,2008,121,42,  3  ,113428,5790,12108,39,4.640000,157,4395,1591,1474,2020,89,39,451857.000000,23075.000000,48143.000000,161.000000,4.647500,668.000000,17599.000000,6305.000000,5830.000000,8076.000000,419.000000,161.000000
MESI,1048576,16,64,  0  ,112661,5741,11942,39,4.640000,120,4379,1521,1463,2014,116,39,  1  ,110830,5772,11710,41,4.740000,101,4415,1499,1426,2034,93,41,  2  ,114938,5741,12383,42,4.540000,130,4386,1527,1461,2008,122,42,  3  ,113428,5780,12108,39,4.640000,98,4386,1531,1473,2020,89,39,451857.000000,23034.000000,48143.000000,161.000000,4.640000,449.000000,17566.000000,6078.000000,5823.000000,8076.000000,420.000000,161.000000
DRAGON,1048576,4,64,  0  ,112661,5609,11942,3,4.500000,148,0,5760,1400,0,3,0,  1  ,110830,5619,11710,2,4.590000,149,0,5770,1392,0,9,0,  2  ,114938,5619,12383,2,4.410000,142,0,5763,1388,0,6,0,  3  ,113428,5626,12108,0,4.480000,158,0,5784,1424,0,6,0,451857.000000,22473.000000,48143.000000,7.000000,4.495000,597.000000,0.000000,23077.000000,5604.000000,0.000000,24.000000,0.000000
DRAGON,1048576,8,64,  0  ,112661,5595,11942,3,4.490000,107,0,5705,1398,0,3,0,  1  ,110830,5604,11710,2,4.570000,110,0,5716,1387,0,9,0,  2  ,114938,5604,12383,2,4.400000,105,0,5711,1387,0,6,0,  3  ,113428,5611,12108,0,4.470000,123,0,5734,1417,0,6,0,451857.000000,22414.000000,48143.000000,7.000000,4.482500,445.000000,0.000000,22866.000000,5589.000000,0.000000,24.000000,0.000000
DRAGON,1048576,16,64,  0  ,112661,5576,11942,3,4.480000,47,0,5626,1395,0,3,0,  1  ,110830,5586,11710,2,4.560000,43,0,5631,1382,0,9,0,  2  ,114938,5586,12383,2,4.390000,62,0,5650,1383,0,6,0,  3  ,113428,5593,12108,0,4.460000,57,0,5650,1411,0,6,0,451857.000000,22341.000000,48143.000000,7.000000,4.472500,209.000000,0.000000,22557.000000,5571.000000,0.000000,24.000000,0.000000
